country_code,country_name,region,sub_region,year,arrivals_millions,arrivals_growth,tourism_receipts_usd_billions,tourism_receipts_growth,average_length_of_stay_days,arrivals_by_purpose_personal,arrivals_by_purpose_business ,top_source_country_1,top_source_country_1_share,top_source_country_2,top_source_country_2_Share,top_source_country_3,top_source_country_3_share,tourism_gdp,tourism_employment_thousands,renewable_energy,tourist_density_per_1000_residents
FRA,France,Europe,Western Europe,2015,"84,452.00",0.9,66.5,-1,1.78,"72,605.00","11,847.00",Germany,20%,UK,15%,USA,10%,9.7,"2,850",17,"3,075"
FRA,France,Europe,Western Europe,2016,"82,682.00",-2.1,63.4,-4.66,1.76,"71,020.00","11,663.00",Germany,20%,UK,15%,USA,10%,9.5,"2,880",18,"3,070"
FRA,France,Europe,Western Europe,2017,"86,758.00",4.93,67.3,6.15,1.76,"74,916.00","11,842.00",Germany,19%,UK,14%,USA,10%,9.6,"2,920",18,"3,135"
FRA,France,Europe,Western Europe,2018,"89,322.00",2.96,72.7,8.02,1.77,"78,258.00","11,064.00",Germany,19%,UK,14%,USA,10%,9.4,"2,950",19,"3,205"
FRA,France,Europe,Western Europe,2019,"90,914.00",1.78,70.9,-2.48,1.8,"79,652.80","11,261.20",Germany,18%,UK,13%,USA,9%,9.5,"2,970",19,"3,295"
FRA,France,Europe,Western Europe,2020,"41,684.00",-54.15,35.8,-49.51,1.8,"35,848.00","5,836.00",Germany,18%,UK,13%,USA,9%,6.8,"2,100",19,"1,770"
FRA,France,Europe,Western Europe,2021,"48,395.00",16.1,45,25.7,1.8,"41,620.00","6,775.00",Germany,18%,UK,13%,USA,9%,7.6,"2,300",23,"2,137"
FRA,France,Europe,Western Europe,2022,"93,852.00",93.93,68,51.11,1.8,"80,713.00","13,139.00",Germany,18%,UK,13%,USA,9%,8.5,"2,600",23,"2,716"
ESP,Spain,Europe,Southern Europe,2015,"68,175.00",4.98,62.5,-13,3.31,"63,195.90","4,978.80",UK,20%,France,14%,Germany,13%,14.2,"2,750",35,"2,355"
ESP,Spain,Europe,Southern Europe,2016,"75,315.00",10.47,66.8,6.88,3.32,"69,611.30","5,703.70",UK,20%,France,14%,Germany,13%,14.5,"2,800",36,"2,479"
ESP,Spain,Europe,Southern Europe,2017,"81,868.00",8.7,75.3,12.72,3.28,"76,161.70","5,706.70",UK,20%,France,14%,Germany,13%,14.6,"2,850",37,"2,611"
ESP,Spain,Europe,Southern Europe,2018,"82,808.00",1.15,81.7,8.5,3.23,"77,171.60","5,636.80",UK,20%,France,14%,Germany,13%,14.3,"2,900",38,"2,672"
ESP,Spain,Europe,Southern Europe,2019,"83,509.00",0.85,79.7,-2.45,3.15,"77,396.50","6,112.70",UK,20%,France,14%,Germany,13%,14.1,"2,950",38,"2,709"
ESP,Spain,Europe,Southern Europe,2020,"18,933.00",-77.33,18.5,-76.79,2.67,"17,367.60","1,565.50",UK,18%,France,15%,Germany,12%,12.5,"2,200",38,782
ESP,Spain,Europe,Southern Europe,2021,"31,181.00",64.69,34.5,86.49,2.85,"28,910.50","2,270.30",UK,18%,France,15%,Germany,12%,12.8,"2,350",42,"1,109"
ESP,Spain,Europe,Southern Europe,2022,"71,659.00",129.82,72.9,111.3,3.11,"66,706.80","4,952.50",UK,18%,France,15%,Germany,12%,13.2,"2,600",42,"2,253"
USA,United States,Americas,North America,2015,"77,773.50",-0.81,230.6,4,1.64,"58,330.10","19,443.40",Canada,27%,Mexico,22%,UK,6%,8.1,"15,700",8,242
USA,United States,Americas,North America,2016,"76,407.50",-1.76,228.6,-0.87,1.74,"57,305.60","19,101.90",Canada,27%,Mexico,22%,UK,6%,8,"15,800",8,236
USA,United States,Americas,North America,2017,"77,186.70",1.02,233.8,2.27,1.69,"57,890.10","19,296.70",Canada,27%,Mexico,22%,UK,6%,8,"15,900",9,232
USA,United States,Americas,North America,2018,"79,745.90",3.32,242,3.51,1.76,"59,809.40","19,936.50",Canada,27%,Mexico,22%,UK,6%,8,"16,000",10,244
USA,United States,Americas,North America,2019,"79,442.00",-0.38,239.1,-1.2,1.81,"59,581.50","19,860.50",Canada,27%,Mexico,22%,UK,6%,7.8,"16,100",11,243
USA,United States,Americas,North America,2020,"19,212.00",-75.82,84.3,-64.74,1.13,"14,409.00","4,803.00",Canada,25%,Mexico,20%,UK,5%,3.4,"5,500",11,596
USA,United States,Americas,North America,2021,"22,280.00",15.97,84.2,-0.12,0.8,"16,710.00","5,570.00",Canada,25%,Mexico,20%,UK,5%,4.6,"6,500",12,681
USA,United States,Americas,North America,2022,"50,870.00",128.32,165.5,96.56,1.51,"38,152.50","12,717.50",Canada,25%,Mexico,20%,UK,5%,7.6,"14,000",12,155
CHN,China,Asia,Eastern Asia,2015,"56,886.00",2.27,45,-5,2.71,"45,850.10","11,035.90",South,15%,Vietnam,9%,Japan,5%,9.8,"28,200",20,97
CHN,China,Asia,Eastern Asia,2016,"59,270.00",4.19,44.4,-1.33,2.71,"47,771.60","11,498.40",South,15%,Vietnam,9%,Japan,5%,10.2,"29,000",21,103
